ISO3166-1-Alpha-2,ISO3166-1-Alpha-3,ISO3166-1-numeric,M49
TW,TWN,158,
AF,AFG,4,4
AL,ALB,8,8
DZ,DZA,12,12
AS,ASM,16,16
AD,AND,20,20
AO,AGO,24,24
AI,AIA,660,660
AQ,ATA,10,10
AG,ATG,28,28
AR,ARG,32,32
AM,ARM,51,51
AW,ABW,533,533
AU,AUS,36,36
AT,AUT,40,40
AZ,AZE,31,31
BS,BHS,44,44
BH,BHR,48,48
BD,BGD,50,50
BB,BRB,52,52
BY,BLR,112,112
BE,BEL,56,56
BZ,BLZ,84,84
BJ,BEN,204,204
BM,BMU,60,60
BT,BTN,64,64
BO,BOL,68,68
BQ,BES,535,535
BA,BIH,70,70
BW,BWA,72,72
BV,BVT,74,74
BR,BRA,76,76
IO,IOT,86,86
VG,VGB,92,92
BN,BRN,96,96
BG,BGR,100,100
BF,BFA,854,854
BI,BDI,108,108
CV,CPV,132,132
KH,KHM,116,116
CM,CMR,120,120
CA,CAN,124,124
KY,CYM,136,136
CF,CAF,140,140
TD,TCD,148,148
CL,CHL,152,152
CN,CHN,156,156
HK,HKG,344,344
MO,MAC,446,446
CX,CXR,162,162
CC,CCK,166,166
CO,COL,170,170
KM,COM,174,174
CG,COG,178,178
CK,COK,184,184
CR,CRI,188,188
HR,HRV,191,191
CU,CUB,192,192
CW,CUW,531,531
CY,CYP,196,196
CZ,CZE,203,203
CI,CIV,384,384
KP,PRK,408,408
CD,COD,180,180
DK,DNK,208,208
DJ,DJI,262,262
DM,DMA,212,212
DO,DOM,214,214
EC,ECU,218,218
EG,EGY,818,818
SV,SLV,222,222
GQ,GNQ,226,226
ER,ERI,232,232
EE,EST,233,233
ET,ETH,231,231
FK,FLK,238,238
FO,FRO,234,234
FJ,FJI,242,242
FI,FIN,246,246
FR,FRA,250,250
GF,GUF,254,254
PF,PYF,258,258
TF,ATF,260,260
GA,GAB,266,266
GM,GMB,270,270
GE,GEO,268,268
DE,DEU,276,276
GH,GHA,288,288
GI,GIB,292,292
GR,GRC,300,300
GL,GRL,304,304
GD,GRD,308,308
GP,GLP,312,312
GU,GUM,316,316
GT,GTM,320,320
GG,GGY,831,831
GN,GIN,324,324
GW,GNB,624,624
GY,GUY,328,328
HT,HTI,332,332
HM,HMD,334,334
VA,VAT,336,336
HN,HND,340,340
HU,HUN,348,348
IS,ISL,352,352
IN,IND,356,356
ID,IDN,360,360
IR,IRN,364,364
IQ,IRQ,368,368
IE,IRL,372,372
IM,IMN,833,833
IL,ISR,376,376
IT,ITA,380,380
JM,JAM,388,388
JP,JPN,392,392
JE,JEY,832,832
JO,JOR,400,400
KZ,KAZ,398,398
KE,KEN,404,404
KI,KIR,296,296
KW,KWT,414,414
KG,KGZ,417,417
LA,LAO,418,418
LV,LVA,428,428
LB,LBN,422,422
LS,LSO,426,426
LR,LBR,430,430
LY,LBY,434,434
LI,LIE,438,438
LT,LTU,440,440
LU,LUX,442,442
MG,MDG,450,450
MW,MWI,454,454
MY,MYS,458,458
MV,MDV,462,462
ML,MLI,466,466
MT,MLT,470,470
MH,MHL,584,584
MQ,MTQ,474,474
MR,MRT,478,478
MU,MUS,480,480
YT,MYT,175,175
MX,MEX,484,484
FM,FSM,583,583
MC,MCO,492,492
MN,MNG,496,496
ME,MNE,499,499
MS,MSR,500,500
MA,MAR,504,504
MZ,MOZ,508,508
MM,MMR,104,104
NA,NAM,516,516
NR,NRU,520,520
NP,NPL,524,524
NL,NLD,528,528
NC,NCL,540,540
NZ,NZL,554,554
NI,NIC,558,558
NE,NER,562,562
NG,NGA,566,566
NU,NIU,570,570
NF,NFK,574,574
MP,MNP,580,580
NO,NOR,578,578
OM,OMN,512,512
PK,PAK,586,586
PW,PLW,585,585
PA,PAN,591,591
PG,PNG,598,598
PY,PRY,600,600
PE,PER,604,604
PH,PHL,608,608
PN,PCN,612,612
PL,POL,616,616
PT,PRT,620,620
PR,PRI,630,630
QA,QAT,634,634
KR,KOR,410,410
MD,MDA,498,498
RO,ROU,642,642
RU,RUS,643,643
RW,RWA,646,646
RE,REU,638,638
BL,BLM,652,652
SH,SHN,654,654
KN,KNA,659,659
LC,LCA,662,662
MF,MAF,663,663
PM,SPM,666,666
VC,VCT,670,670
WS,WSM,882,882
SM,SMR,674,674
ST,STP,678,678
,,,680
SA,SAU,682,682
SN,SEN,686,686
RS,SRB,688,688
SC,SYC,690,690
SL,SLE,694,694
SG,SGP,702,702
SX,SXM,534,534
SK,SVK,703,703
SI,SVN,705,705
SB,SLB,90,90
SO,SOM,706,706
ZA,ZAF,710,710
GS,SGS,239,239
SS,SSD,728,728
ES,ESP,724,724
LK,LKA,144,144
PS,PSE,275,275
SD,SDN,729,729
SR,SUR,740,740
SJ,SJM,744,744
SZ,SWZ,748,748
SE,SWE,752,752
CH,CHE,756,756
SY,SYR,760,760
TJ,TJK,762,762
TH,THA,764,764
MK,MKD,807,807
TL,TLS,626,626
TG,TGO,768,768
TK,TKL,772,772
TO,TON,776,776
TT,TTO,780,780
TN,TUN,788,788
TR,TUR,792,792
TM,TKM,795,795
TC,TCA,796,796
TV,TUV,798,798
UG,UGA,800,800
UA,UKR,804,804
AE,ARE,784,784
GB,GBR,826,826
TZ,TZA,834,834
UM,UMI,581,581
VI,VIR,850,850
US,USA,840,840
UY,URY,858,858
UZ,UZB,860,860
VU,VUT,548,548
VE,VEN,862,862
VN,VNM,704,704
WF,WLF,876,876
EH,ESH,732,732
YE,YEM,887,887
ZM,ZMB,894,894
ZW,ZWE,716,716
AX,ALA,248,248